Title,Type,Country,Genre,Watch Status,Rate,Notes
Red Shoes And The Seven Dwarfs,Animation,Korea,Kids,Completed,3,
Redeeming Love,Movie,USA,Romance,Completed,4,
Reply 1988,Drama ,Korea,Heartwarming,Completed,5,
Resident Playbook,Drama ,Korea,"Heartwarming, Medical",Completed,5,
Revenge Note 2,Drama ,Korea,Drama,Completed,1,
"Romantic Doctor, Teacher Kim",Drama ,Korea,"Drama, Medical",Completed,4,
"Romantic Doctor, Teacher Kim 2",Drama ,Korea,"Drama, Medical",Completed,5,
"Romantic Doctor, Teacher Kim 3",Drama ,Korea,"Drama, Medical",Completed,5,
Sang Kancil,Animation,Malaysia,Kids,Completed,3,
Sausage Party,Animation,USA,Kids,Completed,4,
School 2015 : Who Are You,Drama ,Korea,Drama,Completed,3,
School 2017,Drama ,Korea,Drama,Completed,3,
Secret Queen,Drama ,Korea,Drama,Completed,2,
Shang-chi And The Legend Of The Ten Rings,Movie,USA,Action,Completed,4,
Sherlock Holmes,Movie,Europe,Action,Completed,4,
Shrek,Animation,USA,Kids,Completed,3,
Shrek 2,Animation,USA,Kids,On Going,,
Siksa Kubur,Movie,Indonesia,Horor,Completed,3,
Sing,Animation,USA,Kids,Completed,3,
Sing 2,Animation,USA,Kids,Completed,3,
Single's Inferno,Reality Show,Korea,Realistic Fiction,Completed,3,
Single's Inferno S2,Reality Show,Korea,Realistic Fiction,Completed,4,
Single's Inferno S3,Reality Show,Korea,Realistic Fiction,Completed,4,
Single's Inferno S4,Reality Show,Korea,Realistic Fiction,Completed,3,
Sinkhole,Movie,Korea,Survival,Completed,3,
Sisyphus : The Myth,Drama ,Korea,Drama,Completed,3,
Sky Castle,Drama ,Korea,Drama,Completed,3,
Snow White,Animation,USA,Kids,Completed,3,
Snowden,Movie,USA,Survival,Completed,3,
Snowdrop,Drama ,Korea,Drama,Completed,3,
Sosok Ketiga,Movie,Indonesia,Horor,Completed,1,
Soul,Animation,USA,Kids,Completed,5,
Soulmate,Movie,Korea,Drama,Completed,3,
Spider-man : Far From Home,Movie,USA,Action,Completed,3,
Spider-man : Homecoming,Movie,USA,Action,Completed,3,
Spider-man No Way Home,Movie,USA,Action,Completed,5,
Spirited Away,Anime,Japan,Kids,Completed,4,
Split,Movie,USA,Thriller,Completed,1,
Spy X Family  ,Anime,Japan,Kids,Completed,5,
Squid Game,Drama ,Korea,Thriller,Completed,5,
Squid Game 2,Drama ,Korea,Thriller,Completed,3,
Start-up,Drama ,Korea,Drama,Completed,5,
Strong Women Do Bong Soon,Drama ,Korea,Drama,Completed,4,
Supernova,Movie,Indonesia,Fiction,On Going,,
Suspicious Partner  ,Drama ,Korea,Drama,On Going,,
Suzume,Anime,Japan,Kids,Completed,3,
Sweet Home,Series,Korea,Drama,Completed,3,
Tale Of The Nine Tailed  ,Drama ,Korea,Drama,On Going,,
Tangled,Animation,USA,Kids,Completed,5,
Target,Movie,Korea,Thriller,Completed,3,
Tarzan,Animation,USA,Kids,Completed,4,
Taxi Driver ,Drama ,Korea,Drama,On Going,,
Tenet,Movie,USA,Action,On Going,,
That Christmas,Animation,USA,Kids,Completed,3,
The Avengers : Age Of Ultron,Movie,USA,Action,Completed,3,
The Boss Baby,Animation,USA,Kids,Completed,4,
The Boss Baby : Family Bussines,Animation,USA,Kids,Completed,4,
The Bride Of Habaek  ,Drama ,Korea,Drama,On Going,,
The Conjuring : The Devil Made Me Do It,Movie,USA,Horor,Completed,3,
The Conjuring 2,Movie,USA,Horor,Completed,3,
The Crown,Series,USA,Realistic Fiction,On Going,,
The Dark Night,Movie,USA,Action,Completed,3,
The Day After Tomorrow,Movie,USA,Survival,Completed,3,
The Exorcist Believer,Movie,USA,Horor,Completed,2,
The Fiery Priest ,Drama ,Korea,Drama,On Going,,
The Flu,Movie,Korea,Survival,Completed,3,
The Glory,Drama ,Korea,Drama,Completed,4,
The Good Bad Mother,Drama ,Korea,Drama,Completed,4,
The Grateful Family ,Drama ,Korea,Drama,On Going,,
The Greatest Showman,Movie,USA,Musical,Completed,5,
The Heirs,Drama ,Korea,Drama,Completed,5,
The Hunger Games,Movie,USA,Fiction,Completed,3,
The Hunger Games : Catching Fire,Movie,USA,Fiction,Completed,3,
The Hunger Games : The Mockingjay Part1,Movie,USA,Fiction,Completed,3,
The Imitation Game,Movie,USA,Thriller,Completed,3,
The K2,Drama ,Korea,Action,Completed,3,
The King-eternal Monarch,Drama ,Korea,Drama,Completed,4,
The Larva Island Movie,Animation,Korea,Kids,Completed,4,
The Last Airbender,Animation,USA,Kids,Completed,5,
The Last Of Us ,Drama ,Korea,Survival,On Going,,
The Legend Of The Blue Sea,Drama ,Korea,Drama,Completed,4,
The Life List,Movie,USA,Drama,Completed,5,sukak its about the mc cross off her life list
The Lion King Hollywood Bowl,Movie,USA,Kids,Completed,3,
The Little Mermaid,Movie,USA,Kids,Completed,4,
The Marvels,Movie,USA,Action,Completed,3,
The Meg,Movie,USA,Survival,Completed,3,
The Meg 2,Movie,USA,Survival,Completed,2,
The Nun,Movie,USA,Horor,Completed,3,
The Nun 2,Movie,USA,Horor,Completed,3,
